MedianIncome,RegionName,year,state_fip,_last_synced_
36050.0,36907,2022,1,2023-12-02 16:50:45
32924.98,36925,2022,1,2023-12-02 16:50:45
26431.86,35060,2022,1,2023-12-02 16:50:45
108356.0,36013,2022,1,2023-12-02 16:50:45
24662.32,36205,2022,1,2023-12-02 16:50:45
52284.86,36314,2022,1,2023-12-02 16:50:45
56328.64,36317,2022,1,2023-12-02 16:50:45
36822.5,36371,2022,1,2023-12-02 16:50:45
60834.89,36436,2022,1,2023-12-02 16:50:45
52890.5,36483,2022,1,2023-12-02 16:50:45
55408.85,36511,2022,1,2023-12-02 16:50:45
26598.72,36540,2022,1,2023-12-02 16:50:45
89188.73,36555,2022,1,2023-12-02 16:50:45
42836.67,36574,2022,1,2023-12-02 16:50:45
17978.65,36749,2022,1,2023-12-02 16:50:45
28621.64,36773,2022,1,2023-12-02 16:50:45
31681.77,36858,2022,1,2023-12-02 16:50:45
67433.07,99501,2022,2,2023-12-02 16:50:45
104527.49,99502,2022,2,2023-12-02 16:50:45
69418.91,99503,2022,2,2023-12-02 16:50:45
80714.92,99504,2022,2,2023-12-02 16:50:45
96062.95,99507,2022,2,2023-12-02 16:50:45
68599.03,99508,2022,2,2023-12-02 16:50:45
107060.26000000001,99515,2022,2,2023-12-02 16:50:45
156660.94,99516,2022,2,2023-12-02 16:50:45
