Population,MedianIncome,RegionName,year,state_fip,_last_synced_
5912,59271,36277,2021,1,2023-12-02 16:47:54
3985,41149,36278,2021,1,2023-12-02 16:47:54
2921,58636,36279,2021,1,2023-12-02 16:47:54
4237,67961,36280,2021,1,2023-12-02 16:47:54
37699,43054,36301,2021,1,2023-12-02 16:47:54
31269,48141,36303,2021,1,2023-12-02 16:47:54
16878,75365,36305,2021,1,2023-12-02 16:47:54
5929,38672,36310,2021,1,2023-12-02 16:47:54
2280,42604,36311,2021,1,2023-12-02 16:47:54
6095,46707,36312,2021,1,2023-12-02 16:47:54
2138,66658,36316,2021,1,2023-12-02 16:47:54
1505,54063,36318,2021,1,2023-12-02 16:47:54
2385,55962,36319,2021,1,2023-12-02 16:47:54
3250,38182,36320,2021,1,2023-12-02 16:47:54
2133,51708,36321,2021,1,2023-12-02 16:47:54
8437,43836,36322,2021,1,2023-12-02 16:47:54
7865,42939,36323,2021,1,2023-12-02 16:47:54
37874,65814,36330,2021,1,2023-12-02 16:47:54
5533,38222,36340,2021,1,2023-12-02 16:47:54
1300,41125,36343,2021,1,2023-12-02 16:47:54
6176,47888,36344,2021,1,2023-12-02 16:47:54
8630,64812,36345,2021,1,2023-12-02 16:47:54
1150,52500,36346,2021,1,2023-12-02 16:47:54
7634,46023,36350,2021,1,2023-12-02 16:47:54
3678,60313,36351,2021,1,2023-12-02 16:47:54
5442,64762,36352,2021,1,2023-12-02 16:47:54
1614,44345,36353,2021,1,2023-12-02 16:47:54
19022,45400,36360,2021,1,2023-12-02 16:47:54
990,38000,36370,2021,1,2023-12-02 16:47:54
665,45063,36373,2021,1,2023-12-02 16:47:54
534,70625,36374,2021,1,2023-12-02 16:47:54
6882,45275,36375,2021,1,2023-12-02 16:47:54
2276,43418,36376,2021,1,2023-12-02 16:47:54
7398,36551,36401,2021,1,2023-12-02 16:47:54
10367,44819,36420,2021,1,2023-12-02 16:47:54
9720,53966,36421,2021,1,2023-12-02 16:47:54
15351,43942,36426,2021,1,2023-12-02 16:47:54
2073,40175,36432,2021,1,2023-12-02 16:47:54
3824,34547,36441,2021,1,2023-12-02 16:47:54
3631,41719,36442,2021,1,2023-12-02 16:47:54
4706,44872,36451,2021,1,2023-12-02 16:47:54
2472,42609,36453,2021,1,2023-12-02 16:47:54
1725,55417,36456,2021,1,2023-12-02 16:47:54
9960,29428,36460,2021,1,2023-12-02 16:47:54
9829,40734,36467,2021,1,2023-12-02 16:47:54
2682,43672,36474,2021,1,2023-12-02 16:47:54
1662,35610,36475,2021,1,2023-12-02 16:47:54
3647,42277,36477,2021,1,2023-12-02 16:47:54
995,-666666666,36482,2021,1,2023-12-02 16:47:54
16285,35205,36502,2021,1,2023-12-02 16:47:54
920,61563,36505,2021,1,2023-12-02 16:47:54
20910,44918,36507,2021,1,2023-12-02 16:47:54
1596,33173,36509,2021,1,2023-12-02 16:47:54
5165,58871,36521,2021,1,2023-12-02 16:47:54
7063,48421,36522,2021,1,2023-12-02 16:47:54
2913,53021,36523,2021,1,2023-12-02 16:47:54
1165,50764,36524,2021,1,2023-12-02 16:47:54
2335,55526,36525,2021,1,2023-12-02 16:47:54
34627,76810,36526,2021,1,2023-12-02 16:47:54
17146,103882,36527,2021,1,2023-12-02 16:47:54
1771,62560,36528,2021,1,2023-12-02 16:47:54
6411,50905,36530,2021,1,2023-12-02 16:47:54
